recording,audio_path,s3-key,temp
Rollerblading (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/315_Antfood_Rollerblading.wav,315_Antfood_Rollerblading.wav,60
Sirens (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/316_Antfood_Sirens.wav,316_Antfood_Sirens.wav,64
Claps (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/318_Antfood_Claps.wav,318_Antfood_Claps.wav,74
Court (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/319_Antfood_Court.wav,319_Antfood_Court.wav,76
Follow (B.wav),/home/pedro/dev/antfood/percussive-gen/data/audio/323_Antfood_Follow_B.wav,323_Antfood_Follow_B.wav,72
Just Enough Egg Nog (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/324_Antfood_JustEnoughEggNog.wav,324_Antfood_JustEnoughEggNog.wav,71
Candy (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/325_Antfood_Candy.wav,325_Antfood_Candy.wav,83
Sideways Houses (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/326_Antfood_SidewaysHouses.wav,326_Antfood_SidewaysHouses.wav,85
Open Up (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/327_Antfood_OpenUp.wav,327_Antfood_OpenUp.wav,53
Golden Rings (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/328_Antfood_GoldenRings.wav,328_Antfood_GoldenRings.wav,47
Angels (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/329_Antfood_Angels.wav,329_Antfood_Angels.wav,62
Jammin The Halls (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/330_Antfood_JamminTheHalls.wav,330_Antfood_JamminTheHalls.wav,69
Oh Snowy Night (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/331_Antfood_OhSnowyNight.wav,331_Antfood_OhSnowyNight.wav,59
Old School (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/332_Antfood_OldSchool.wav,332_Antfood_OldSchool.wav,85
Boston (A),/home/pedro/dev/antfood/percussive-gen/data/audio/333_Antfood_Boston_A.wav,333_Antfood_Boston_A.wav,89
Boston (B),/home/pedro/dev/antfood/percussive-gen/data/audio/333_Antfood_Boston_B.wav,333_Antfood_Boston_B.wav,89
Xmas Blingtime (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/334_Antfood_XmasBlingtime.wav,334_Antfood_XmasBlingtime.wav,46
East Of Noir (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/335_Antfood_EastOfNoir.wav,335_Antfood_EastOfNoir.wav,64
Environment (A),/home/pedro/dev/antfood/percussive-gen/data/audio/336_Antfood_Environment_A.wav,336_Antfood_Environment_A.wav,67
Environment (B),/home/pedro/dev/antfood/percussive-gen/data/audio/336_Antfood_Environment_B.wav,336_Antfood_Environment_B.wav,67
Universe (A),/home/pedro/dev/antfood/percussive-gen/data/audio/337_Antfood_Universe_A.wav,337_Antfood_Universe_A.wav,85
Universe (B),/home/pedro/dev/antfood/percussive-gen/data/audio/337_Antfood_Universe_B.wav,337_Antfood_Universe_B.wav,85
Space Facts (The Dance),/home/pedro/dev/antfood/percussive-gen/data/audio/338_Antfood_SpaceDance.wav,338_Antfood_SpaceDance.wav,52
Space Facts (Short and Sweet),/home/pedro/dev/antfood/percussive-gen/data/audio/339_Antfood_SpaceFacts.wav,339_Antfood_SpaceFacts.wav,45
Jungle Party (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/340_Antfood_JungleParty.wav,340_Antfood_JungleParty.wav,83
Sewers (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/341_Antfood_Sewers.wav,341_Antfood_Sewers.wav,78
Leonor (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/342_Antfood_Leonor.wav,342_Antfood_Leonor.wav,74
Birds (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/347_Antfood_Birds.wav,347_Antfood_Birds.wav,100
Galo (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/351_Antfood_Galo.wav,351_Antfood_Galo.wav,85
So Spooky (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/352_Antfood_SoSpooky.wav,352_Antfood_SoSpooky.wav,72
Melt (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/353_Antfood_Melt.wav,353_Antfood_Melt.wav,15
Eerie (Lost & Found Mix),/home/pedro/dev/antfood/percussive-gen/data/audio/355_Antfood_Eerie.wav,355_Antfood_Eerie.wav,15
Pamplona (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/359_Antfood_Pamplona.wav,359_Antfood_Pamplona.wav,64
Food (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/361_Antfood_Food.wav,361_Antfood_Food.wav,65
The Chair (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/365_Antfood_TheChair.wav,365_Antfood_TheChair.wav,68
Rain Cats (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/366_Antfood_RainCats.wav,366_Antfood_RainCats.wav,74
Forbearers (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/369_Antfood_Forbearers.wav,369_Antfood_Forbearers.wav,78
Bossa Lounge (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/370_Antfood_BossaLounge.wav,370_Antfood_BossaLounge.wav,85
Mouse Trap (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/371_Antfood_MouseTrap.wav,371_Antfood_MouseTrap.wav,76
South Beach (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/372_Antfood_SouthBeach.wav,372_Antfood_SouthBeach.wav,77
Whiskers (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/373_Antfood_Whiskers.wav,373_Antfood_Whiskers.wav,85
Water (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/374_Antfood_Water.wav,374_Antfood_Water.wav,41
Cocktails (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/375_Antfood_Cocktails.wav,375_Antfood_Cocktails.wav,72
Reservations (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/376_Antfood_Reservations.wav,376_Antfood_Reservations.wav,82
Sad Godzilla (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/377_Antfood_SadGodzilla.wav,377_Antfood_SadGodzilla.wav,41
Bing Beat (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/378_Antfood_BingBeat.wav,378_Antfood_BingBeat.wav,58
Soft Serve (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/380_Antfood_SoftServe.wav,380_Antfood_SoftServe.wav,68
Young Explorers (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/381_Antfood_YoungExplorers.wav,381_Antfood_YoungExplorers.wav,85
Jerry Curl (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/382_Antfood_JerryCurl.wav,382_Antfood_JerryCurl.wav,73
Blueberry Syrup (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/384_Antfood_BlueberrySyrup.wav,384_Antfood_BlueberrySyrup.wav,66
Banjo Duet (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/385_Antfood_BanjoDuet.wav,385_Antfood_BanjoDuet.wav,70
Twice As Nice (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/386_Antfood_TwiceAsNice.wav,386_Antfood_TwiceAsNice.wav,85
Kick (A),/home/pedro/dev/antfood/percussive-gen/data/audio/387_Antfood_Kick_A.wav,387_Antfood_Kick_A.wav,67
Kick (B),/home/pedro/dev/antfood/percussive-gen/data/audio/387_Antfood_Kick_B.wav,387_Antfood_Kick_B.wav,67
Distant Star (A),/home/pedro/dev/antfood/percussive-gen/data/audio/388_Antfood_DistantStar_A.wav,388_Antfood_DistantStar_A.wav,86
Distant Star (B),/home/pedro/dev/antfood/percussive-gen/data/audio/388_Antfood_DistantStar_B.wav,388_Antfood_DistantStar_B.wav,86
Three Guys (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/389_Antfood_ThreeGuys.wav,389_Antfood_ThreeGuys.wav,84
Get Em (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/391_Antfood_GetEm.wav,391_Antfood_GetEm.wav,68
Break And Forth (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/392_Antfood_BreakAndForth.wav,392_Antfood_BreakAndForth.wav,70
USA Today (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/393_Antfood_USAToday.wav,393_Antfood_USAToday.wav,56
Doo Doo Doo (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/394_Antfood_DooDooDoo.wav,394_Antfood_DooDooDoo.wav,66
High Stakes (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/395_Antfood_HighStakes.wav,395_Antfood_HighStakes.wav,62
Make It So Easy (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/397_Antfood_MakeItSoEasy.wav,397_Antfood_MakeItSoEasy.wav,40
Increasing (A),/home/pedro/dev/antfood/percussive-gen/data/audio/398_Antfood_Increasing_A.wav,398_Antfood_Increasing_A.wav,63
Increasing (B),/home/pedro/dev/antfood/percussive-gen/data/audio/398_Antfood_Increasing_B.wav,398_Antfood_Increasing_B.wav,63
Pandeirao (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/399_Antfood_Pandeirao.wav,399_Antfood_Pandeirao.wav,41
Persistence (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/400_Antfood_Persistence.wav,400_Antfood_Persistence.wav,53
Ballgame (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/402_Antfood_Ballgame.wav,402_Antfood_Ballgame.wav,76
Clear (A),/home/pedro/dev/antfood/percussive-gen/data/audio/403_Antfood_ClearA.wav,403_Antfood_ClearA.wav,83
Clear (B),/home/pedro/dev/antfood/percussive-gen/data/audio/403_Antfood_ClearB.wav,403_Antfood_ClearB.wav,83
Cleaver (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/404_Antfood_Cleaver.wav,404_Antfood_Cleaver.wav,60
Club (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/405_Antfood_Club.wav,405_Antfood_Club.wav,54
Cosmic (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/406_Antfood_Cosmic.wav,406_Antfood_Cosmic.wav,61
Crack Run (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/407_Antfood_CrackRun.wav,407_Antfood_CrackRun.wav,22
Crazy Fun (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/408_Antfood_CrazyFun.wav,408_Antfood_CrazyFun.wav,41
Discovering (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/409_Antfood_Discovering.wav,409_Antfood_Discovering.wav,31
Drama (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/410_Antfood_Drama.wav,410_Antfood_Drama.wav,41
Driving (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/411_Antfood_Driving.wav,411_Antfood_Driving.wav,85
Eight Oclock (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/412_Antfood_EightOclock.wav,412_Antfood_EightOclock.wav,15
Electro (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/413_Antfood_Electro.wav,413_Antfood_Electro.wav,76
Fifth Star from the Fire (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/414_Antfood_F5.wav,414_Antfood_F5.wav,65
Feeling Fine (A),/home/pedro/dev/antfood/percussive-gen/data/audio/415_Antfood_FeelingFineA.wav,415_Antfood_FeelingFineA.wav,85
Feeling Fine (B),/home/pedro/dev/antfood/percussive-gen/data/audio/415_Antfood_FeelingFineB.wav,415_Antfood_FeelingFineB.wav,85
Fierro (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/416_Antfood_Fierro.wav,416_Antfood_Fierro.wav,65
Fishing (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/417_Antfood_Fishing.wav,417_Antfood_Fishing.wav,85
Freezing (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/418_Antfood_Freezing.wav,418_Antfood_Freezing.wav,20
Freiburg (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/419_Antfood_Freiburg.wav,419_Antfood_Freiburg.wav,81
Glint (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/421_Antfood_Glint.wav,421_Antfood_Glint.wav,68
Gracelandny (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/422_Antfood_Graceland.wav,422_Antfood_Graceland.wav,72
Jams (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/424_Antfood_Jams.wav,424_Antfood_Jams.wav,56
Jets (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/425_Antfood_Jets.wav,425_Antfood_Jets.wav,25
Kingdom of Eternal Septembers (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/426_Antfood_Kingdom.wav,426_Antfood_Kingdom.wav,71
Momentary (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/430_Antfood_Momentary.wav,430_Antfood_Momentary.wav,75
Morning Now (Instrumental),/home/pedro/dev/antfood/percussive-gen/data/audio/431_Antfood_MorningNowA.wav,431_Antfood_MorningNowA.wav,85
Morning Now (Vocal),/home/pedro/dev/antfood/percussive-gen/data/audio/431_Antfood_MorningNowB.wav,431_Antfood_MorningNowB.wav,85
Nova (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/433_Antfood_Nova.wav,433_Antfood_Nova.wav,85
One Two (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/434_Antfood_OneTwo.wav,434_Antfood_OneTwo.wav,80
Pega Mina (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/435_Antfood_PegaMina.wav,435_Antfood_PegaMina.wav,85
Pieces (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/436_Antfood_Pieces.wav,436_Antfood_Pieces.wav,97
Polka One (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/437_Antfood_PolkaOne.wav,437_Antfood_PolkaOne.wav,59
Polka Two (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/438_Antfood_PolkaThree.wav,438_Antfood_PolkaThree.wav,82
Polka Three (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/439_Antfood_PolkaTwo.wav,439_Antfood_PolkaTwo.wav,45
Pond (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/440_Antfood_Pond.wav,440_Antfood_Pond.wav,87
Renee (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/442_Antfood_Renee.wav,442_Antfood_Renee.wav,42
Roads (A),/home/pedro/dev/antfood/percussive-gen/data/audio/443_Antfood_RoadsA.wav,443_Antfood_RoadsA.wav,87
Roads (B),/home/pedro/dev/antfood/percussive-gen/data/audio/443_Antfood_RoadsB.wav,443_Antfood_RoadsB.wav,87
Saturdays (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/444_Antfood_Saturdays.wav,444_Antfood_Saturdays.wav,77
Say Good Morning (A),/home/pedro/dev/antfood/percussive-gen/data/audio/445_Antfood_SayGoodMorningA.wav,445_Antfood_SayGoodMorningA.wav,85
Say Good Morning (B),/home/pedro/dev/antfood/percussive-gen/data/audio/445_Antfood_SayGoodMorningB.wav,445_Antfood_SayGoodMorningB.wav,74
Scary (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/446_Antfood_Scary.wav,446_Antfood_Scary.wav,70
Screet (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/447_Antfood_Screet.wav,447_Antfood_Screet.wav,58
Settle Outside (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/448_Antfood_SettleOutside.wav,448_Antfood_SettleOutside.wav,85
Sideways (A),/home/pedro/dev/antfood/percussive-gen/data/audio/449_Antfood_SidewaysA.wav,449_Antfood_SidewaysA.wav,65
Sideways (B),/home/pedro/dev/antfood/percussive-gen/data/audio/449_Antfood_SidewaysB.wav,449_Antfood_SidewaysB.wav,81
Squeak (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/452_Antfood_Squeak.wav,452_Antfood_Squeak.wav,15
Stoops (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/453_Antfood_Stoops.wav,453_Antfood_Stoops.wav,84
Summerful (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/454_Antfood_Summerful.wav,454_Antfood_Summerful.wav,85
Summers (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/455_Antfood_Summers.wav,455_Antfood_Summers.wav,85
Timeline (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/456_Antfood_Timeline.wav,456_Antfood_Timeline.wav,85
Tuileries (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/457_Antfood_Tuileries.wav,457_Antfood_Tuileries.wav,81
Walking (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/458_Antfood_Walking.wav,458_Antfood_Walking.wav,43
Boardwalk (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/459_Antfood_Boardwalk.wav,459_Antfood_Boardwalk.wav,85
Center Of It All (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/460_Antfood_CenterOfItAll.wav,460_Antfood_CenterOfItAll.wav,16
Change (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/461_Antfood_Change.wav,461_Antfood_Change.wav,58
Cool Breeze (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/462_Antfood_CoolBreeze.wav,462_Antfood_CoolBreeze.wav,68
Fun House (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/463_Antfood_FunHouse.wav,463_Antfood_FunHouse.wav,76
Your Beats (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/464_Antfood_YourBeats.wav,464_Antfood_YourBeats.wav,7
Foxy Dance (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/465_Antfood_FoxyDance.wav,465_Antfood_FoxyDance.wav,73
Cast (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/466_Antfood_Cast.wav,466_Antfood_Cast.wav,36
See Saw (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/467_Antfood_SeeSaw.wav,467_Antfood_SeeSaw.wav,69
Checkers (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/468_Antfood_Checkers.wav,468_Antfood_Checkers.wav,63
Rinse (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/469_Antfood_Rinse.wav,469_Antfood_Rinse.wav,86
Broccoli (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/470_Antfood_Broccoli.wav,470_Antfood_Broccoli.wav,82
Pears (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/471_Antfood_Pears.wav,471_Antfood_Pears.wav,85
Santa Fe (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/472_Antfood_SantaFe.wav,472_Antfood_SantaFe.wav,78
String (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/473_Antfood_String.wav,473_Antfood_String.wav,67
Theramincito (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/474_Antfood_Theramincito.wav,474_Antfood_Theramincito.wav,40
Believe (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/475_Antfood_Believe.wav,475_Antfood_Believe.wav,63
Places (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/476_Antfood_Places.wav,476_Antfood_Places.wav,17
Crush (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/477_Antfood_Crush.wav,477_Antfood_Crush.wav,30
5 Inch Floppy (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/Chobani_Chobani_5InchFloppy_Original_072811_C_95_4-4_PH_NXT.wav,Chobani_Chobani_5InchFloppy_Original_072811_C_95_4-4_PH_NXT.wav,72
Somewhere (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/AFL-CIO_AFL-CIO_Somewhere_Original_111011_C_110_4-4_WB_NXT.wav,AFL-CIO_AFL-CIO_Somewhere_Original_111011_C_110_4-4_WB_NXT.wav,85
Fast Break (D S),/home/pedro/dev/antfood/percussive-gen/data/audio/McDonalds_Overposter_FastBreak_DS_2011.wav,McDonalds_Overposter_FastBreak_DS_2011.wav,84
Alligator (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/AFL-CIO_AFL-CIO_Alligator_Original_110911_Eb_145_4-4_SC_NXT.wav,AFL-CIO_AFL-CIO_Alligator_Original_110911_Eb_145_4-4_SC_NXT.wav,65
Siphon (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/Starbucks_Frapp_Siphon_D_135_4-4_WB_ATEdit_220121.wav,Starbucks_Frapp_Siphon_D_135_4-4_WB_ATEdit_220121.wav,85
Bossa Sacundin (Trophy.wav),/home/pedro/dev/antfood/percussive-gen/data/audio/Google_Chromebook_BossaSacundin_Trophy.wav,Google_Chromebook_BossaSacundin_Trophy.wav,82
Gridiron (102312),/home/pedro/dev/antfood/percussive-gen/data/audio/Nike_CollegeFootball_Gridiron_102312_WB_Dm_150_4-4_NXT.wav,Nike_CollegeFootball_Gridiron_102312_WB_Dm_150_4-4_NXT.wav,47
Karmania (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/Ford_FusionCampaign_Karmania_D_103_AM_WB_ATEdit_220110.wav,Ford_FusionCampaign_Karmania_D_103_AM_WB_ATEdit_220110.wav,84
Royal Rush (90s),/home/pedro/dev/antfood/percussive-gen/data/audio/Ford_FusionCampaign_RoyalRush_F_160_SC_AM_ATEdit_211221.wav,Ford_FusionCampaign_RoyalRush_F_160_SC_AM_ATEdit_211221.wav,90
Alley Katz (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/JCPenny_BlackFriday_AlleyKatz_Original_110612_Am_105_4-4_WBCVK_NXT.wav,JCPenny_BlackFriday_AlleyKatz_Original_110612_Am_105_4-4_WBCVK_NXT.wav,72
Put It Together (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/Ford_Carwash_PutItTogether_B_128_4-4_WB_ATEdit_220118.wav,Ford_Carwash_PutItTogether_B_128_4-4_WB_ATEdit_220118.wav,81
Titan (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/1025_Titan.wav,1025_Titan.wav,85
Always Knew (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/Tide_Febreeze_AlwaysKnew_Original_072313_F_125_4-4_CK_NXT.wav,Tide_Febreeze_AlwaysKnew_Original_072313_F_125_4-4_CK_NXT.wav,85
All In (Whistle),/home/pedro/dev/antfood/percussive-gen/data/audio/FruitSnacks_ClawMachine_AllIn_Whistle_141118_Cm_90_3-4_SC_NXT.wav,FruitSnacks_ClawMachine_AllIn_Whistle_141118_Cm_90_3-4_SC_NXT.wav,33
Fuller Loop (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/Twitter_Cannes_Fuller_C_70_4-4_SC_ATEdit_220103.wav,Twitter_Cannes_Fuller_C_70_4-4_SC_ATEdit_220103.wav,47
Gift Of Flight (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/Dramamine_GiftofFlight_A_140_WB_ATEdit.wav,Dramamine_GiftofFlight_A_140_WB_ATEdit.wav,78
Jump (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/Beano_OrderMatters_Jump_Bm_108_PB_ATEdit_220103.wav,Beano_OrderMatters_Jump_Bm_108_PB_ATEdit_220103.wav,37
New Dimensions (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/ESTEELAUDER_NewDimensions_NewDimensions_Original_2015_Bm_165_3-4_VN.wav,ESTEELAUDER_NewDimensions_NewDimensions_Original_2015_Bm_165_3-4_VN.wav,15
Smarter Child (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/NCTA_OnwardInternet_SmarterChild_Original_140924_E_4-4_140_WB.wav,NCTA_OnwardInternet_SmarterChild_Original_140924_E_4-4_140_WB.wav,56
Creepy Sexy Love Party (Guitar),/home/pedro/dev/antfood/percussive-gen/data/audio/ADCN_Titles_CreepySexyLoveParty_Guitar_160407_Am_80_PB_ATEdit_211214.wav,ADCN_Titles_CreepySexyLoveParty_Guitar_160407_Am_80_PB_ATEdit_211214.wav,41
Blausee (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/17150681_AICP_2017Titles_Blausee.wav,17150681_AICP_2017Titles_Blausee.wav,15
Stiller Time (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/17150682_AICP_2017Titles_StillerTime_Original_WBEdit_201223.wav,17150682_AICP_2017Titles_StillerTime_Original_WBEdit_201223.wav,18
Distrophic (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/17150683_AICP_NextTitles_Distrophic_160802_qt.wav,17150683_AICP_NextTitles_Distrophic_160802_qt.wav,15
Skinner (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/17150684_AICPNEXT_2017Titles_Skinner_170602_qt-01.wav,17150684_AICPNEXT_2017Titles_Skinner_170602_qt-01.wav,15
Houston (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/17150685_AICPNEXT_Houston_170519_qt.wav,17150685_AICPNEXT_Houston_170519_qt.wav,68
Pulses Test (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/17150686_AICPNEXT_PulsesTest_170519_qt.wav,17150686_AICPNEXT_PulsesTest_170519_qt.wav,15
Sandovalia (2 Minute Mix),/home/pedro/dev/antfood/percussive-gen/data/audio/17150687_AnalogueLoaders_Sandovalia_MUS_161121_qt.wav,17150687_AnalogueLoaders_Sandovalia_MUS_161121_qt.wav,74
Binding (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/17150689_ANewWay_Binding_170802_qt.wav,17150689_ANewWay_Binding_170802_qt.wav,85
Creepy Folks (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/17150710_Arla_rBST_CreepyFolks_MUS_180123_qt.wav,17150710_Arla_rBST_CreepyFolks_MUS_180123_qt.wav,29
Wicked (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/17150714_Arla_rBST_Wicked_170317_qt.wav,17150714_Arla_rBST_Wicked_170317_qt.wav,38
Bebe (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/17150715_Arla_Xanthan_Bebe_MUS_170317_qt.wav,17150715_Arla_Xanthan_Bebe_MUS_170317_qt.wav,15
Dramal (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/17150716_Arla_Xanthan_Dramal_MUS_170317_qt.wav,17150716_Arla_Xanthan_Dramal_MUS_170317_qt.wav,15
Léon (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/17150720_Arla_Xanthan_Leon_MUS_170317_qt.wav,17150720_Arla_Xanthan_Leon_MUS_170317_qt.wav,43
Trifocals (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/17150723_Arla_Xanthan_Trifocals_MUS_170317_qt.wav,17150723_Arla_Xanthan_Trifocals_MUS_170317_qt.wav,17
Gold Sneakers (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/17150726_BBC_Brit_Gloves_GoldSneakers_140408_qt.wav,17150726_BBC_Brit_Gloves_GoldSneakers_140408_qt.wav,66
Soco Na Cara (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/17150728_beINSPORTS_SocoNaCara_170802_qt.wav,17150728_beINSPORTS_SocoNaCara_170802_qt.wav,82
Warmth Within (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/17150741_BlackoutVR_Ch3_170901_LIBRARY_DH.wav,17150741_BlackoutVR_Ch3_170901_LIBRARY_DH.wav,85
Aspri (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/17150742_BlackOutVR_Ch5_170829_LIBRARY_YE.wav,17150742_BlackOutVR_Ch5_170829_LIBRARY_YE.wav,39
Kroiph (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/17150743_BlackoutVR_Kickstarter_Kroiph_150917_qt.wav,17150743_BlackoutVR_Kickstarter_Kroiph_150917_qt.wav,61
Mosa (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/17150744_BlackoutVR_Kickstarter_Mosa_150917_qt.wav,17150744_BlackoutVR_Kickstarter_Mosa_150917_qt.wav,70
